AgeBP1950;Temp;1sigmauncert;Source
4750;0,57;0,23;Marcott
4770;0,57;0,23;Marcott
4790;0,57;0,23;Marcott
4810;0,57;0,23;Marcott
4830;0,58;0,24;Marcott
4850;0,58;0,23;Marcott
4870;0,58;0,23;Marcott
4890;0,58;0,23;Marcott
4910;0,58;0,23;Marcott
4930;0,58;0,23;Marcott
4950;0,58;0,23;Marcott
4970;0,59;0,23;Marcott
4990;0,59;0,23;Marcott
5010;0,60;0,23;Marcott
5030;0,61;0,23;Marcott
5050;0,63;0,23;Marcott
5070;0,64;0,23;Marcott
5090;0,65;0,23;Marcott
5110;0,66;0,23;Marcott
5130;0,67;0,24;Marcott
5150;0,68;0,24;Marcott
5170;0,69;0,24;Marcott
5190;0,71;0,23;Marcott
5210;0,72;0,24;Marcott
5230;0,72;0,24;Marcott
5250;0,73;0,24;Marcott
5270;0,73;0,24;Marcott
5290;0,73;0,24;Marcott
5310;0,72;0,24;Marcott
5330;0,72;0,25;Marcott
5350;0,72;0,25;Marcott
5370;0,72;0,25;Marcott
5390;0,72;0,25;Marcott
5410;0,71;0,25;Marcott
5430;0,71;0,26;Marcott
5450;0,71;0,27;Marcott
5470;0,71;0,28;Marcott
5490;0,71;0,28;Marcott
5510;0,71;0,29;Marcott
5530;0,72;0,29;Marcott
5550;0,72;0,29;Marcott
5570;0,73;0,29;Marcott
5590;0,74;0,29;Marcott
5610;0,75;0,29;Marcott
5630;0,76;0,30;Marcott
5650;0,78;0,30;Marcott
5670;0,79;0,30;Marcott
5690;0,80;0,31;Marcott
5710;0,81;0,31;Marcott
5730;0,81;0,30;Marcott
5750;0,82;0,30;Marcott
5770;0,83;0,31;Marcott
5790;0,83;0,31;Marcott
5810;0,82;0,31;Marcott
5830;0,81;0,31;Marcott
5850;0,80;0,31;Marcott
5870;0,79;0,30;Marcott
5890;0,79;0,30;Marcott
5910;0,79;0,30;Marcott
5930;0,79;0,30;Marcott
5950;0,79;0,30;Marcott
5970;0,78;0,30;Marcott
5990;0,79;0,29;Marcott
6010;0,80;0,29;Marcott
6030;0,81;0,30;Marcott
6050;0,83;0,30;Marcott
6070;0,84;0,30;Marcott
6090;0,85;0,30;Marcott
6110;0,85;0,30;Marcott
6130;0,86;0,29;Marcott
6150;0,86;0,29;Marcott
6170;0,86;0,30;Marcott
6190;0,86;0,29;Marcott
6210;0,86;0,30;Marcott
6230;0,86;0,30;Marcott
6250;0,86;0,29;Marcott
6270;0,86;0,29;Marcott
6290;0,86;0,29;Marcott
6310;0,86;0,29;Marcott
6330;0,85;0,28;Marcott
6350;0,85;0,28;Marcott
6370;0,85;0,28;Marcott
6390;0,85;0,28;Marcott
6410;0,84;0,28;Marcott
6430;0,84;0,28;Marcott
6450;0,85;0,28;Marcott
6470;0,86;0,28;Marcott
6490;0,87;0,28;Marcott
6510;0,88;0,29;Marcott
6530;0,89;0,29;Marcott
6550;0,90;0,29;Marcott
6570;0,91;0,29;Marcott
6590;0,92;0,29;Marcott
6610;0,93;0,29;Marcott
6630;0,93;0,29;Marcott
6650;0,94;0,29;Marcott
6670;0,95;0,29;Marcott
6690;0,96;0,29;Marcott
6710;0,97;0,29;Marcott
6730;0,97;0,29;Marcott
6750;0,97;0,28;Marcott
6770;0,98;0,28;Marcott
6790;0,99;0,29;Marcott
6810;1,01;0,29;Marcott
6830;1,02;0,29;Marcott
6850;1,04;0,29;Marcott
6870;1,06;0,29;Marcott
6890;1,08;0,29;Marcott
6910;1,10;0,30;Marcott
6930;1,11;0,30;Marcott
6950;1,12;0,30;Marcott
6970;1,13;0,30;Marcott
6990;1,14;0,30;Marcott
7010;1,14;0,30;Marcott
7030;1,14;0,30;Marcott
7050;1,13;0,30;Marcott
7070;1,12;0,30;Marcott
7090;1,11;0,30;Marcott
7110;1,10;0,30;Marcott
7130;1,08;0,30;Marcott
7150;1,07;0,29;Marcott
7170;1,06;0,29;Marcott
7190;1,05;0,29;Marcott
7210;1,04;0,29;Marcott
7230;1,03;0,29;Marcott
7250;1,02;0,29;Marcott
7270;1,02;0,29;Marcott
7290;1,01;0,29;Marcott
7310;1,00;0,30;Marcott
7330;0,99;0,30;Marcott
7350;0,97;0,31;Marcott
7370;0,96;0,31;Marcott
7390;0,95;0,31;Marcott
7410;0,96;0,31;Marcott
7430;0,96;0,32;Marcott
7450;0,96;0,32;Marcott
7470;0,97;0,32;Marcott
7490;0,99;0,33;Marcott
7510;1,00;0,33;Marcott
7530;1,02;0,33;Marcott
7550;1,03;0,32;Marcott
7570;1,05;0,32;Marcott
7590;1,06;0,32;Marcott
7610;1,07;0,32;Marcott
7630;1,06;0,32;Marcott
7650;1,06;0,32;Marcott
7670;1,04;0,32;Marcott
7690;1,03;0,32;Marcott
7710;1,02;0,31;Marcott
7730;1,01;0,31;Marcott
7750;0,99;0,31;Marcott
7770;0,98;0,31;Marcott
7790;0,98;0,31;Marcott
7810;0,98;0,31;Marcott
7830;0,97;0,31;Marcott
7850;0,97;0,32;Marcott
7870;0,97;0,32;Marcott
7890;0,97;0,32;Marcott
7910;0,96;0,32;Marcott
7930;0,96;0,32;Marcott
7950;0,96;0,32;Marcott
7970;0,96;0,32;Marcott
7990;0,95;0,32;Marcott
8010;0,95;0,32;Marcott
8030;0,95;0,32;Marcott
8050;0,95;0,32;Marcott
8070;0,94;0,32;Marcott
8090;0,93;0,32;Marcott
8110;0,91;0,31;Marcott
8130;0,88;0,31;Marcott
8150;0,85;0,31;Marcott
8170;0,83;0,31;Marcott
8190;0,83;0,31;Marcott
8210;0,82;0,31;Marcott
8230;0,81;0,30;Marcott
8250;0,79;0,31;Marcott
8270;0,77;0,31;Marcott
8290;0,77;0,31;Marcott
8310;0,78;0,31;Marcott
8330;0,79;0,31;Marcott
8350;0,81;0,31;Marcott
8370;0,82;0,31;Marcott
8390;0,82;0,31;Marcott
8410;0,82;0,31;Marcott
8430;0,81;0,31;Marcott
8450;0,81;0,30;Marcott
8470;0,82;0,30;Marcott
8490;0,83;0,30;Marcott
8510;0,85;0,30;Marcott
8530;0,86;0,30;Marcott
8550;0,88;0,30;Marcott
8570;0,90;0,31;Marcott
8590;0,91;0,31;Marcott
8610;0,92;0,31;Marcott
8630;0,93;0,31;Marcott
8650;0,93;0,31;Marcott
8670;0,93;0,31;Marcott
8690;0,93;0,31;Marcott
8710;0,93;0,31;Marcott
8730;0,93;0,31;Marcott
8750;0,93;0,31;Marcott
8770;0,93;0,31;Marcott
8790;0,92;0,32;Marcott
8810;0,92;0,32;Marcott
8830;0,92;0,32;Marcott
8850;0,92;0,32;Marcott
8870;0,92;0,32;Marcott
8890;0,92;0,33;Marcott
8910;0,92;0,33;Marcott
8930;0,92;0,33;Marcott
8950;0,92;0,32;Marcott
8970;0,91;0,33;Marcott
8990;0,89;0,33;Marcott
9010;0,88;0,33;Marcott
9030;0,86;0,32;Marcott
9050;0,86;0,32;Marcott
9070;0,85;0,33;Marcott
9090;0,84;0,34;Marcott
9110;0,84;0,35;Marcott
9130;0,84;0,35;Marcott
9150;0,84;0,36;Marcott
9170;0,84;0,37;Marcott
9190;0,83;0,37;Marcott
9210;0,84;0,38;Marcott
9230;0,85;0,39;Marcott
9250;0,86;0,38;Marcott
9270;0,87;0,38;Marcott
9290;0,88;0,38;Marcott
9310;0,89;0,37;Marcott
9330;0,90;0,36;Marcott
9350;0,92;0,35;Marcott
9370;0,93;0,34;Marcott
9390;0,96;0,34;Marcott
9410;0,98;0,33;Marcott
9430;1,00;0,32;Marcott
9450;1,01;0,32;Marcott
9470;1,02;0,32;Marcott
